#   time            Cubic	   Hexagonal 
   5.8000000e+00   2.9570000e+03   4.9161333e+03
   5.9000000e+00   2.9714000e+03   4.9890667e+03
   6.0000000e+00   2.9828667e+03   5.0475333e+03
   6.1000000e+00   3.0136000e+03   5.1290667e+03
   6.2000000e+00   3.0338667e+03   5.2529333e+03
   6.3000000e+00   3.0540667e+03   5.2736667e+03
   6.4000000e+00   3.0598000e+03   5.3416667e+03
   6.5000000e+00   3.0903333e+03   5.4500000e+03
   6.6000000e+00   3.1074000e+03   5.5094667e+03
   6.7000000e+00   3.1097333e+03   5.5803333e+03
   6.8000000e+00   3.1123333e+03   5.6535333e+03
   6.9000000e+00   3.1128667e+03   5.6980000e+03
   7.0000000e+00   3.0982000e+03   5.6988667e+03
   7.1000000e+00   3.1121333e+03   5.7340667e+03
   7.2000000e+00   3.1346667e+03   5.8782000e+03
   7.3000000e+00   3.1579333e+03   5.9039333e+03
   7.4000000e+00   3.1685333e+03   5.9914000e+03
   7.5000000e+00   3.1926667e+03   6.0638667e+03
   7.6000000e+00   3.2109333e+03   6.1396000e+03
   7.7000000e+00   3.2126000e+03   6.2384000e+03
   7.8000000e+00   3.1996000e+03   6.2830667e+03
   7.9000000e+00   3.2376667e+03   6.4048000e+03
   8.0000000e+00   3.2417333e+03   6.4180000e+03
   8.1000000e+00   3.2308667e+03   6.4034667e+03
   8.2000000e+00   3.2593333e+03   6.4499333e+03
   8.3000000e+00   3.2666667e+03   6.5435333e+03
   8.4000000e+00   3.2822000e+03   6.6758000e+03
   8.5000000e+00   3.2740667e+03   6.7522667e+03
   8.6000000e+00   3.2754667e+03   6.7818000e+03
   8.7000000e+00   3.2664667e+03   6.8316000e+03
   8.8000000e+00   3.2706667e+03   6.9925333e+03
   8.9000000e+00   3.2936000e+03   7.1088000e+03
   9.0000000e+00   3.3226667e+03   7.3095333e+03
   9.1000000e+00   3.3228000e+03   7.4218000e+03
   9.2000000e+00   3.3361333e+03   7.5521333e+03
   9.3000000e+00   3.3291333e+03   7.6555333e+03
   9.4000000e+00   3.2938667e+03   7.8174000e+03
   9.5000000e+00   3.3220000e+03   7.9790000e+03
   9.6000000e+00   3.3184000e+03   8.2247333e+03
   9.7000000e+00   3.3184667e+03   8.3941333e+03
   9.8000000e+00   3.3266667e+03   8.5348000e+03
   9.9000000e+00   3.2926000e+03   8.5902667e+03
   1.0000000e+01   3.3004000e+03   8.7952667e+03
   1.0100000e+01   3.3355333e+03   8.9271333e+03
   1.0200000e+01   3.3542667e+03   9.0350667e+03
   1.0300000e+01   3.3598000e+03   9.1736000e+03
   1.0400000e+01   3.3699333e+03   9.3798667e+03
   1.0500000e+01   3.3656000e+03   9.5384667e+03
   1.0600000e+01   3.3637333e+03   9.6321333e+03
   1.0700000e+01   3.3847333e+03   9.9209333e+03
   1.0800000e+01   3.4047333e+03   1.0084200e+04
   1.0900000e+01   3.3668667e+03   1.0320333e+04
   1.1000000e+01   3.3848667e+03   1.0544067e+04
   1.1100000e+01   3.3869333e+03   1.0800000e+04
   1.1200000e+01   3.3919333e+03   1.0985000e+04
   1.1300000e+01   3.3740667e+03   1.1181067e+04
   1.1400000e+01   3.3881333e+03   1.1355667e+04
   1.1500000e+01   3.4073333e+03   1.1579133e+04
   1.1600000e+01   3.4201333e+03   1.1735533e+04
   1.1700000e+01   3.4439333e+03   1.1910400e+04
   1.1800000e+01   3.4688667e+03   1.1996867e+04
   1.1900000e+01   3.4880667e+03   1.2145267e+04
   1.2000000e+01   3.5366000e+03   1.2223867e+04
   1.2100000e+01   3.5554000e+03   1.2421800e+04
   1.2200000e+01   3.5854000e+03   1.2579533e+04
   1.2300000e+01   3.6208667e+03   1.2761933e+04
   1.2400000e+01   3.6132000e+03   1.2876400e+04
   1.2500000e+01   3.6466000e+03   1.3008400e+04
   1.2600000e+01   3.6527333e+03   1.3254933e+04
   1.2700000e+01   3.6340000e+03   1.3469533e+04
   1.2800000e+01   3.6477333e+03   1.3681333e+04
   1.2900000e+01   3.6670667e+03   1.3842600e+04
   1.3000000e+01   3.7058000e+03   1.4070200e+04
   1.3100000e+01   3.7034000e+03   1.4270867e+04
   1.3200000e+01   3.7117333e+03   1.4413467e+04
   1.3300000e+01   3.7700000e+03   1.4650333e+04
   1.3400000e+01   3.8067333e+03   1.4833667e+04
   1.3500000e+01   3.8516667e+03   1.4952867e+04
   1.3600000e+01   3.8746667e+03   1.5121533e+04
   1.3700000e+01   3.8644000e+03   1.5277533e+04
   1.3800000e+01   3.9039333e+03   1.5483600e+04
   1.3900000e+01   3.9179333e+03   1.5686133e+04
   1.4000000e+01   3.9292667e+03   1.5938067e+04
   1.4100000e+01   3.9580667e+03   1.6128200e+04
   1.4200000e+01   3.9423333e+03   1.6179400e+04
   1.4300000e+01   3.9554000e+03   1.6337467e+04
   1.4400000e+01   4.0232667e+03   1.6466333e+04
   1.4500000e+01   4.0326667e+03   1.6692267e+04
   1.4600000e+01   4.0414000e+03   1.6845733e+04
   1.4700000e+01   4.0339333e+03   1.6985333e+04
   1.4800000e+01   4.0647333e+03   1.7106333e+04
   1.4900000e+01   4.1315333e+03   1.7217000e+04
   1.5000000e+01   4.1186000e+03   1.7303333e+04
   1.5100000e+01   4.1252000e+03   1.7413800e+04
   1.5200000e+01   4.1638000e+03   1.7550533e+04
   1.5300000e+01   4.2034000e+03   1.7700733e+04
   1.5400000e+01   4.1843333e+03   1.7825133e+04
   1.5500000e+01   4.2188667e+03   1.7987067e+04
   1.5600000e+01   4.2852000e+03   1.8135533e+04
   1.5700000e+01   4.2856000e+03   1.8248333e+04
   1.5800000e+01   4.3430000e+03   1.8414267e+04
   1.5900000e+01   4.3338667e+03   1.8455267e+04
   1.6000000e+01   4.3800667e+03   1.8609133e+04
   1.6100000e+01   4.3674000e+03   1.8753933e+04
   1.6200000e+01   4.3824000e+03   1.8908133e+04
   1.6300000e+01   4.4226000e+03   1.9067800e+04
   1.6400000e+01   4.5016667e+03   1.9209600e+04
   1.6500000e+01   4.5187333e+03   1.9418200e+04
   1.6600000e+01   4.5852000e+03   1.9562067e+04
   1.6700000e+01   4.6599333e+03   1.9740400e+04
   1.6800000e+01   4.6802000e+03   1.9941000e+04
   1.6900000e+01   4.7723333e+03   2.0170267e+04
   1.7000000e+01   4.7864667e+03   2.0320067e+04
   1.7100000e+01   4.8278000e+03   2.0419267e+04
   1.7200000e+01   4.8943333e+03   2.0639933e+04
   1.7300000e+01   4.9714000e+03   2.0839933e+04
   1.7400000e+01   5.0382667e+03   2.1039867e+04
   1.7500000e+01   5.0995333e+03   2.1179933e+04
   1.7600000e+01   5.1544000e+03   2.1325600e+04
   1.7700000e+01   5.2332667e+03   2.1461333e+04
   1.7800000e+01   5.3095333e+03   2.1699667e+04
   1.7900000e+01   5.3686000e+03   2.1940467e+04
   1.8000000e+01   5.4263333e+03   2.2158200e+04
   1.8100000e+01   5.4842000e+03   2.2362333e+04
   1.8200000e+01   5.5406667e+03   2.2583667e+04
   1.8300000e+01   5.6049333e+03   2.2820200e+04
   1.8400000e+01   5.6621333e+03   2.3033600e+04
   1.8500000e+01   5.7066000e+03   2.3222533e+04
   1.8600000e+01   5.8112000e+03   2.3480600e+04
   1.8700000e+01   5.8500000e+03   2.3651133e+04
   1.8800000e+01   5.9154667e+03   2.3861933e+04
   1.8900000e+01   5.9500667e+03   2.4107933e+04
   1.9000000e+01   6.0283333e+03   2.4232400e+04
   1.9100000e+01   6.0951333e+03   2.4455333e+04
   1.9200000e+01   6.1402000e+03   2.4619400e+04
   1.9300000e+01   6.2575333e+03   2.4944200e+04
   1.9400000e+01   6.2861333e+03   2.5046867e+04
   1.9500000e+01   6.3800000e+03   2.5261267e+04
   1.9600000e+01   6.4355333e+03   2.5466200e+04
   1.9700000e+01   6.4968000e+03   2.5622000e+04
   1.9800000e+01   6.6078000e+03   2.5791867e+04
   1.9900000e+01   6.6373333e+03   2.5948800e+04
   2.0000000e+01   6.7028667e+03   2.6110533e+04
   2.0100000e+01   6.7204667e+03   2.5624933e+04
   2.0200000e+01   6.8150667e+03   2.5844267e+04
   2.0300000e+01   6.8616667e+03   2.6002200e+04
   2.0400000e+01   6.9286000e+03   2.6148533e+04
   2.0500000e+01   6.9838000e+03   2.6199533e+04
   2.0600000e+01   7.0628667e+03   2.6328533e+04
   2.0700000e+01   7.1562667e+03   2.6491667e+04
   2.0800000e+01   7.2158667e+03   2.6699333e+04
   2.0900000e+01   7.3075333e+03   2.6877000e+04
   2.1000000e+01   7.3276000e+03   2.6950267e+04
   2.1100000e+01   7.3726000e+03   2.7208333e+04
   2.1200000e+01   7.4664000e+03   2.7385733e+04
   2.1300000e+01   7.5132000e+03   2.7532333e+04
   2.1400000e+01   7.5698667e+03   2.7618733e+04
   2.1500000e+01   7.6386667e+03   2.7741333e+04
   2.1600000e+01   7.7398000e+03   2.7921067e+04
   2.1700000e+01   7.8328000e+03   2.8059267e+04
   2.1800000e+01   7.8915333e+03   2.8204733e+04
   2.1900000e+01   7.9197333e+03   2.8335533e+04
   2.2000000e+01   7.9801333e+03   2.8556733e+04
   2.2100000e+01   8.0105333e+03   2.8692133e+04
   2.2200000e+01   8.0783333e+03   2.8886867e+04
   2.2300000e+01   8.1646000e+03   2.8997333e+04
   2.2400000e+01   8.1822667e+03   2.9248267e+04
   2.2500000e+01   8.2368000e+03   2.9455400e+04
   2.2600000e+01   8.3067333e+03   2.9681733e+04
   2.2700000e+01   8.3799333e+03   2.9837600e+04
   2.2800000e+01   8.4454000e+03   3.0072400e+04
   2.2900000e+01   8.5054667e+03   3.0167800e+04
   2.3000000e+01   8.5912667e+03   3.0402400e+04
   2.3100000e+01   8.6650667e+03   3.0567000e+04
   2.3200000e+01   8.7045333e+03   3.0763333e+04
   2.3300000e+01   8.7621333e+03   3.0918800e+04
   2.3400000e+01   8.8030667e+03   3.1102933e+04
