#   time            Cubic	   Hexagonal 
   1.5100000e+01   1.2474333e+04   2.0859333e+03
   1.5200000e+01   1.2486667e+04   2.0873333e+03
   1.5300000e+01   1.2480133e+04   2.0874000e+03
   1.5400000e+01   1.2486933e+04   2.0967333e+03
   1.5500000e+01   1.2549733e+04   2.0780000e+03
   1.5600000e+01   1.2557600e+04   2.0650667e+03
   1.5700000e+01   1.2524600e+04   2.0730667e+03
   1.5800000e+01   1.2527133e+04   2.0922000e+03
   1.5900000e+01   1.2502667e+04   2.0861333e+03
   1.6000000e+01   1.2476333e+04   2.0728667e+03
   1.6100000e+01   1.2475467e+04   2.0762667e+03
   1.6200000e+01   1.2499600e+04   2.0732000e+03
   1.6300000e+01   1.2480200e+04   2.0720000e+03
   1.6400000e+01   1.2460000e+04   2.0645333e+03
   1.6500000e+01   1.2451667e+04   2.1018000e+03
   1.6600000e+01   1.2453800e+04   2.0792000e+03
   1.6700000e+01   1.2514267e+04   2.0844667e+03
   1.6800000e+01   1.2482333e+04   2.0856667e+03
   1.6900000e+01   1.2493067e+04   2.1056000e+03
   1.7000000e+01   1.2475733e+04   2.0832667e+03
   1.7100000e+01   1.2548133e+04   2.0561333e+03
   1.7200000e+01   1.2545000e+04   2.0749333e+03
   1.7300000e+01   1.2523333e+04   2.0531333e+03
   1.7400000e+01   1.2503067e+04   2.0532000e+03
   1.7500000e+01   1.2475000e+04   2.0820667e+03
   1.7600000e+01   1.2492733e+04   2.0500000e+03
   1.7700000e+01   1.2502067e+04   2.0622667e+03
   1.7800000e+01   1.2496200e+04   2.0650667e+03
   1.7900000e+01   1.2516867e+04   2.0724667e+03
   1.8000000e+01   1.2463800e+04   2.1126667e+03
   1.8100000e+01   1.2483333e+04   2.0699333e+03
   1.8200000e+01   1.2475267e+04   2.0629333e+03
   1.8300000e+01   1.2516000e+04   2.0688000e+03
   1.8400000e+01   1.2535933e+04   2.0874667e+03
   1.8500000e+01   1.2546533e+04   2.0872000e+03
   1.8600000e+01   1.2560000e+04   2.0813333e+03
   1.8700000e+01   1.2519867e+04   2.1053333e+03
   1.8800000e+01   1.2552667e+04   2.0963333e+03
   1.8900000e+01   1.2608333e+04   2.1049333e+03
   1.9000000e+01   1.2545000e+04   2.1194667e+03
   1.9100000e+01   1.2579800e+04   2.0727333e+03
   1.9200000e+01   1.2560533e+04   2.0436667e+03
   1.9300000e+01   1.2567533e+04   2.0679333e+03
   1.9400000e+01   1.2594533e+04   2.0800667e+03
   1.9500000e+01   1.2547933e+04   2.1054000e+03
   1.9600000e+01   1.2532600e+04   2.0924667e+03
   1.9700000e+01   1.2546333e+04   2.0789333e+03
   1.9800000e+01   1.2566600e+04   2.0853333e+03
   1.9900000e+01   1.2563933e+04   2.0644000e+03
   2.0000000e+01   1.2535467e+04   2.0829333e+03
